Symbol,Company Name,Industry,Series,ISIN Code
CRISIL.NS,CRISIL Ltd.,Financial Services,EQ,INE007A01025
CAMPUS.NS,Campus Activewear Ltd.,Consumer Durables,EQ,INE278Y01022
CANFINHOME.NS,Can Fin Homes Ltd.,Financial Services,EQ,INE477A01020
CANBK.NS,Canara Bank,Financial Services,EQ,INE476A01022
CAPLIPOINT.NS,Caplin Point Laboratories Ltd.,Healthcare,EQ,INE475E01026
CGCL.NS,Capri Global Capital Ltd.,Financial Services,EQ,INE180C01042
CARBORUNIV.NS,Carborundum Universal Ltd.,Capital Goods,EQ,INE120A01034
CASTROLIND.NS,Castrol India Ltd.,Oil Gas & Consumable Fuels,EQ,INE172A01027
CEATLTD.NS,Ceat Ltd.,Automobile and Auto Components,EQ,INE482A01020
CENTRALBK.NS,Central Bank of India,Financial Services,EQ,INE483A01010
CDSL.NS,Central Depository Services (India) Ltd.,Financial Services,EQ,INE736A01011
CENTURYPLY.NS,Century Plyboards (India) Ltd.,Consumer Durables,EQ,INE348B01021
CERA.NS,Cera Sanitaryware Ltd,Consumer Durables,EQ,INE739E01017
CHALET.NS,Chalet Hotels Ltd.,Consumer Services,EQ,INE427F01016
CHAMBLFERT.NS,Chambal Fertilizers & Chemicals Ltd.,Chemicals,EQ,INE085A01013
CHENNPETRO.NS,Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,EQ,INE178A01016
CHOICEIN.NS,Choice International Ltd.,Financial Services,EQ,INE102B01014
CHOLAHLDNG.NS,Cholamandalam Financial Holdings Ltd.,Financial Services,EQ,INE149A01033
CHOLAFIN.NS,Cholamandalam Investment and Finance Company Ltd.,Financial Services,EQ,INE121A01024
CIPLA.NS,Cipla Ltd.,Healthcare,EQ,INE059A01026
CUB.NS,City Union Bank Ltd.,Financial Services,EQ,INE491A01021
CLEAN.NS,Clean Science and Technology Ltd.,Chemicals,EQ,INE227W01023
COALINDIA.NS,Coal India Ltd.,Oil Gas & Consumable Fuels,EQ,INE522F01014
COCHINSHIP.NS,Cochin Shipyard Ltd.,Capital Goods,EQ,INE704P01025
COFORGE.NS,Coforge Ltd.,Information Technology,EQ,INE591G01025
COHANCE.NS,Cohance Lifesciences Ltd.,Healthcare,EQ,INE03QK01018
COLPAL.NS,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,EQ,INE259A01022
CAMS.NS,Computer Age Management Services Ltd.,Financial Services,EQ,INE596I01020
CONCORDBIO.NS,Concord Biotech Ltd.,Healthcare,EQ,INE338H01029
CONCOR.NS,Container Corporation of India Ltd.,Services,EQ,INE111A01025
COROMANDEL.NS,Coromandel International Ltd.,Chemicals,EQ,INE169A01031
CRAFTSMAN.NS,Craftsman Automation Ltd.,Automobile and Auto Components,EQ,INE00LO01017
CREDITACC.NS,CreditAccess Grameen Ltd.,Financial Services,EQ,INE741K01010
CROMPTON.NS,Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,EQ,INE299U01018
CUMMINSIND.NS,Cummins India Ltd.,Capital Goods,EQ,INE298A01020
CYIENT.NS,Cyient Ltd.,Information Technology,EQ,INE136B01020
DCMSHRIRAM.NS,DCM Shriram Ltd.,Diversified,EQ,INE499A01024
DLF.NS,DLF Ltd.,Realty,EQ,INE271C01023
DOMS.NS,DOMS Industries Ltd.,Fast Moving Consumer Goods,EQ,INE321T01012
DABUR.NS,Dabur India Ltd.,Fast Moving Consumer Goods,EQ,INE016A01026
DALBHARAT.NS,Dalmia Bharat Ltd.,Construction Materials,EQ,INE00R701025
DATAPATTNS.NS,Data Patterns (India) Ltd.,Capital Goods,EQ,INE0IX101010
DEEPAKFERT.NS,Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,EQ,INE501A01019
DEEPAKNTR.NS,Deepak Nitrite Ltd.,Chemicals,EQ,INE288B01029
DELHIVERY.NS,Delhivery Ltd.,Services,EQ,INE148O01028
DEVYANI.NS,Devyani International Ltd.,Consumer Services,EQ,INE872J01023
DIVISLAB.NS,Divi's Laboratories Ltd.,Healthcare,EQ,INE361B01024
DIXON.NS,Dixon Technologies (India) Ltd.,Consumer Durables,EQ,INE935N01020
AGARWALEYE.NS,Dr. Agarwal's Health Care Ltd.,Healthcare,EQ,INE943P01029
LALPATHLAB.NS,Dr. Lal Path Labs Ltd.,Healthcare,EQ,INE600L01024
DRREDDY.NS,Dr. Reddy's Laboratories Ltd.,Healthcare,EQ,INE089A01031
DUMMYHDLVR.NS,Dummy Hindustan Unilever Ltd.,Fast Moving Consumer Goods,EQ,DUM030A01027
EIDPARRY.NS,E.I.D. Parry (India) Ltd.,Fast Moving Consumer Goods,EQ,INE126A01031
EIHOTEL.NS,EIH Ltd.,Consumer Services,EQ,INE230A01023
EICHERMOT.NS,Eicher Motors Ltd.,Automobile and Auto Components,EQ,INE066A01021
ELECON.NS,Elecon Engineering Co. Ltd.,Capital Goods,EQ,INE205B01031
ELGIEQUIP.NS,Elgi Equipments Ltd.,Capital Goods,EQ,INE285A01027
EMAMILTD.NS,Emami Ltd.,Fast Moving Consumer Goods,EQ,INE548C01032
EMCURE.NS,Emcure Pharmaceuticals Ltd.,Healthcare,EQ,INE168P01015
ENDURANCE.NS,Endurance Technologies Ltd.,Automobile and Auto Components,EQ,INE913H01037
ENGINERSIN.NS,Engineers India Ltd.,Construction,EQ,INE510A01028
ERIS.NS,Eris Lifesciences Ltd.,Healthcare,EQ,INE406M01024
ESCORTS.NS,Escorts Kubota Ltd.,Capital Goods,EQ,INE042A01014
ETERNAL.NS,Eternal Ltd.,Consumer Services,EQ,INE758T01015
EXIDEIND.NS,Exide Industries Ltd.,Automobile and Auto Components,EQ,INE302A01020
NYKAA.NS,FSN E-Commerce Ventures Ltd.,Consumer Services,EQ,INE388Y01029
FEDERALBNK.NS,Federal Bank Ltd.,Financial Services,EQ,INE171A01029
FACT.NS,Fertilisers and Chemicals Travancore Ltd.,Chemicals,EQ,INE188A01015
FINCABLES.NS,Finolex Cables Ltd.,Capital Goods,EQ,INE235A01022
FINPIPE.NS,Finolex Industries Ltd.,Capital Goods,EQ,INE183A01024
FSL.NS,Firstsource Solutions Ltd.,Services,EQ,INE684F01012
FIVESTAR.NS,Five-Star Business Finance Ltd.,Financial Services,EQ,INE128S01021
FORCEMOT.NS,Force Motors Ltd.,Automobile and Auto Components,EQ,INE451A01017
FORTIS.NS,Fortis Healthcare Ltd.,Healthcare,EQ,INE061F01013
GAIL.NS,GAIL (India) Ltd.,Oil Gas & Consumable Fuels,EQ,INE129A01019
GVT&D.NS,GE Vernova T&D India Ltd.,Capital Goods,EQ,INE200A01026
GMRAIRPORT.NS,GMR Airports Ltd.,Services,EQ,INE776C01039
GRSE.NS,Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,EQ,INE382Z01011
GICRE.NS,General Insurance Corporation of India,Financial Services,EQ,INE481Y01014
GILLETTE.NS,Gillette India Ltd.,Fast Moving Consumer Goods,EQ,INE322A01010
GLAND.NS,Gland Pharma Ltd.,Healthcare,EQ,INE068V01023
GLAXO.NS,Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,EQ,INE159A01016
GLENMARK.NS,Glenmark Pharmaceuticals Ltd.,Healthcare,EQ,INE935A01035
MEDANTA.NS,Global Health Ltd.,Healthcare,EQ,INE474Q01031
GODIGIT.NS,Go Digit General Insurance Ltd.,Financial Services,EQ,INE03JT01014
GPIL.NS,Godawari Power & Ispat Ltd.,Capital Goods,EQ,INE177H01039
GODFRYPHLP.NS,Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,EQ,INE260B01028
GODREJAGRO.NS,Godrej Agrovet Ltd.,Fast Moving Consumer Goods,EQ,INE850D01014
GODREJCP.NS,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,EQ,INE102D01028
GODREJIND.NS,Godrej Industries Ltd.,Diversified,EQ,INE233A01035
GODREJPROP.NS,Godrej Properties Ltd.,Realty,EQ,INE484J01027
GRANULES.NS,Granules India Ltd.,Healthcare,EQ,INE101D01020
GRAPHITE.NS,Graphite India Ltd.,Capital Goods,EQ,INE371A01025
GRASIM.NS,Grasim Industries Ltd.,Construction Materials,EQ,INE047A01021
GRAVITA.NS,Gravita India Ltd.,Metals & Mining,EQ,INE024L01027
GESHIP.NS,Great Eastern Shipping Co. Ltd.,Services,EQ,INE017A01032
FLUOROCHEM.NS,Gujarat Fluorochemicals Ltd.,Chemicals,EQ,INE09N301011
GUJGASLTD.NS,Gujarat Gas Ltd.,Oil Gas & Consumable Fuels,EQ,INE844O01030
GMDCLTD.NS,Gujarat Mineral Development Corporation Ltd.,Metals & Mining,EQ,INE131A01031
GSPL.NS,Gujarat State Petronet Ltd.,Oil Gas & Consumable Fuels,EQ,INE246F01010
HEG.NS,H.E.G. Ltd.,Capital Goods,EQ,INE545A01024
HBLENGINE.NS,HBL Engineering Ltd.,Capital Goods,EQ,INE292B01021
HCLTECH.NS,HCL Technologies Ltd.,Information Technology,EQ,INE860A01027
HDFCAMC.NS,HDFC Asset Management Company Ltd.,Financial Services,EQ,INE127D01025
HDFCBANK.NS,HDFC Bank Ltd.,Financial Services,EQ,INE040A01034
HDFCLIFE.NS,HDFC Life Insurance Company Ltd.,Financial Services,EQ,INE795G01014
HFCL.NS,HFCL Ltd.,Telecommunication,EQ,INE548A01028
HAPPSTMNDS.NS,Happiest Minds Technologies Ltd.,Information Technology,EQ,INE419U01012
HAVELLS.NS,Havells India Ltd.,Consumer Durables,EQ,INE176B01034
HEROMOTOCO.NS,Hero MotoCorp Ltd.,Automobile and Auto Components,EQ,INE158A01026
HEXT.NS,Hexaware Technologies Ltd.,Information Technology,EQ,INE093A01041
HSCL.NS,Himadri Speciality Chemical Ltd.,Chemicals,EQ,INE019C01026
HINDALCO.NS,Hindalco Industries Ltd.,Metals & Mining,EQ,INE038A01020
HAL.NS,Hindustan Aeronautics Ltd.,Capital Goods,EQ,INE066F01020
HINDCOPPER.NS,Hindustan Copper Ltd.,Metals & Mining,EQ,INE531E01026
HINDPETRO.NS,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,EQ,INE094A01015
HINDUNILVR.NS,Hindustan Unilever Ltd.,Fast Moving Consumer Goods,EQ,INE030A01027
HINDZINC.NS,Hindustan Zinc Ltd.,Metals & Mining,EQ,INE267A01025
POWERINDIA.NS,Hitachi Energy India Ltd.,Capital Goods,EQ,INE07Y701011
HOMEFIRST.NS,Home First Finance Company India Ltd.,Financial Services,EQ,INE481N01025
HONASA.NS,Honasa Consumer Ltd.,Fast Moving Consumer Goods,EQ,INE0J5401028
HONAUT.NS,Honeywell Automation India Ltd.,Capital Goods,EQ,INE671A01010
HUDCO.NS,Housing & Urban Development Corporation Ltd.,Financial Services,EQ,INE031A01017
HYUNDAI.NS,Hyundai Motor India Ltd.,Automobile and Auto Components,EQ,INE0V6F01027
ICICIBANK.NS,ICICI Bank Ltd.,Financial Services,EQ,INE090A01021
ICICIGI.NS,ICICI Lombard General Insurance Company Ltd.,Financial Services,EQ,INE765G01017
ICICIPRULI.NS,ICICI Prudential Life Insurance Company Ltd.,Financial Services,EQ,INE726G01019
IDBI.NS,IDBI Bank Ltd.,Financial Services,EQ,INE008A01015
IDFCFIRSTB.NS,IDFC First Bank Ltd.,Financial Services,EQ,INE092T01019
IFCI.NS,IFCI Ltd.,Financial Services,EQ,INE039A01010
IIFL.NS,IIFL Finance Ltd.,Financial Services,EQ,INE530B01024
INOXINDIA.NS,INOX India Ltd.,Capital Goods,EQ,INE616N01034
IRB.NS,IRB Infrastructure Developers Ltd.,Construction,EQ,INE821I01022
IRCON.NS,IRCON International Ltd.,Construction,EQ,INE962Y01021
ITCHOTELS.NS,ITC Hotels Ltd.,Consumer Services,EQ,INE379A01028
ITC.NS,ITC Ltd.,Fast Moving Consumer Goods,EQ,INE154A01025
ITI.NS,ITI Ltd.,Telecommunication,EQ,INE248A01017
INDGN.NS,Indegene Ltd.,Healthcare,EQ,INE065X01017
INDIACEM.NS,India Cements Ltd.,Construction Materials,EQ,INE383A01012
INDIAMART.NS,Indiamart Intermesh Ltd.,Consumer Services,EQ,INE933S01016
INDIANB.NS,Indian Bank,Financial Services,EQ,INE562A01011
IEX.NS,Indian Energy Exchange Ltd.,Financial Services,EQ,INE022Q01020
INDHOTEL.NS,Indian Hotels Co. Ltd.,Consumer Services,EQ,INE053A01029
IOC.NS,Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,EQ,INE242A01010
IOB.NS,Indian Overseas Bank,Financial Services,EQ,INE565A01014
IRCTC.NS,Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,EQ,INE335Y01020
IRFC.NS,Indian Railway Finance Corporation Ltd.,Financial Services,EQ,INE053F01010
IREDA.NS,Indian Renewable Energy Development Agency Ltd.,Financial Services,EQ,INE202E01016
IGL.NS,Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,EQ,INE203G01027
INDUSTOWER.NS,Indus Towers Ltd.,Telecommunication,EQ,INE121J01017
INDUSINDBK.NS,IndusInd Bank Ltd.,Financial Services,EQ,INE095A01012
NAUKRI.NS,Info Edge (India) Ltd.,Consumer Services,EQ,INE663F01032
INFY.NS,Infosys Ltd.,Information Technology,EQ,INE009A01021
INOXWIND.NS,Inox Wind Ltd.,Capital Goods,EQ,INE066P01011
INTELLECT.NS,Intellect Design Arena Ltd.,Information Technology,EQ,INE306R01017
INDIGO.NS,InterGlobe Aviation Ltd.,Services,EQ,INE646L01027
IGIL.NS,International Gemmological Institute (India) Ltd.,Services,EQ,INE0Q9301021
IKS.NS,Inventurus Knowledge Solutions Ltd.,Information Technology,EQ,INE115Q01022
IPCALAB.NS,Ipca Laboratories Ltd.,Healthcare,EQ,INE571A01038
JBCHEPHARM.NS,J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,EQ,INE572A01036
JKCEMENT.NS,J.K. Cement Ltd.,Construction Materials,EQ,INE823G01014
JBMA.NS,JBM Auto Ltd.,Automobile and Auto Components,EQ,INE927D01051
JKTYRE.NS,JK Tyre & Industries Ltd.,Automobile and Auto Components,EQ,INE573A01042
JMFINANCIL.NS,JM Financial Ltd.,Financial Services,EQ,INE780C01023
JSWENERGY.NS,JSW Energy Ltd.,Power,EQ,INE121E01018
JSWINFRA.NS,JSW Infrastructure Ltd.,Services,EQ,INE880J01026
JSWSTEEL.NS,JSW Steel Ltd.,Metals & Mining,EQ,INE019A01038
JPPOWER.NS,Jaiprakash Power Ventures Ltd.,Power,EQ,INE351F01018
J&KBANK.NS,Jammu & Kashmir Bank Ltd.,Financial Services,EQ,INE168A01041
JINDALSAW.NS,Jindal Saw Ltd.,Capital Goods,EQ,INE324A01032
JSL.NS,Jindal Stainless Ltd.,Metals & Mining,EQ,INE220G01021
JINDALSTEL.NS,Jindal Steel Ltd.,Metals & Mining,EQ,INE749A01030
JIOFIN.NS,Jio Financial Services Ltd.,Financial Services,EQ,INE758E01017
JUBLFOOD.NS,Jubilant Foodworks Ltd.,Consumer Services,EQ,INE797F01020
JUBLINGREA.NS,Jubilant Ingrevia Ltd.,Chemicals,EQ,INE0BY001018
JUBLPHARMA.NS,Jubilant Pharmova Ltd.,Healthcare,EQ,INE700A01033
JWL.NS,Jupiter Wagons Ltd.,Capital Goods,EQ,INE209L01016
JYOTHYLAB.NS,Jyothy Labs Ltd.,Fast Moving Consumer Goods,EQ,INE668F01031
JYOTICNC.NS,Jyoti CNC Automation Ltd.,Capital Goods,EQ,INE980O01024
KPRMILL.NS,K.P.R. Mill Ltd.,Textiles,EQ,INE930H01031
KEI.NS,KEI Industries Ltd.,Capital Goods,EQ,INE878B01027
KPITTECH.NS,KPIT Technologies Ltd.,Information Technology,EQ,INE04I401011
KSB.NS,KSB Ltd.,Capital Goods,EQ,INE999A01023
KAJARIACER.NS,Kajaria Ceramics Ltd.,Consumer Durables,EQ,INE217B01036
KPIL.NS,Kalpataru Projects International Ltd.,Construction,EQ,INE220B01022
KALYANKJIL.NS,Kalyan Jewellers India Ltd.,Consumer Durables,EQ,INE303R01014
KARURVYSYA.NS,Karur Vysya Bank Ltd.,Financial Services,EQ,INE036D01028
KAYNES.NS,Kaynes Technology India Ltd.,Capital Goods,EQ,INE918Z01012
KEC.NS,Kec International Ltd.,Construction,EQ,INE389H01022
KFINTECH.NS,Kfin Technologies Ltd.,Financial Services,EQ,INE138Y01010
KIRLOSBROS.NS,Kirloskar Brothers Ltd.,Capital Goods,EQ,INE732A01036
KIRLOSENG.NS,Kirloskar Oil Eng Ltd.,Capital Goods,EQ,INE146L01010
KOTAKBANK.NS,Kotak Mahindra Bank Ltd.,Financial Services,EQ,INE237A01028
KIMS.NS,Krishna Institute of Medical Sciences Ltd.,Healthcare,EQ,INE967H01025
LTF.NS,L&T Finance Ltd.,Financial Services,EQ,INE498L01015
LTTS.NS,L&T Technology Services Ltd.,Information Technology,EQ,INE010V01017
LICHSGFIN.NS,LIC Housing Finance Ltd.,Financial Services,EQ,INE115A01026
LTFOODS.NS,LT Foods Ltd.,Fast Moving Consumer Goods,EQ,INE818H01020
LTIM.NS,LTIMindtree Ltd.,Information Technology,EQ,INE214T01019
LT.NS,Larsen & Toubro Ltd.,Construction,EQ,INE018A01030
LATENTVIEW.NS,Latent View Analytics Ltd.,Information Technology,EQ,INE0I7C01011
LAURUSLABS.NS,Laurus Labs Ltd.,Healthcare,EQ,INE947Q01028
THELEELA.NS,Leela Palaces Hotels & Resorts Ltd.,Consumer Services,EQ,INE0AQ201015
LEMONTREE.NS,Lemon Tree Hotels Ltd.,Consumer Services,EQ,INE970X01018
LICI.NS,Life Insurance Corporation of India,Financial Services,EQ,INE0J1Y01017
LINDEINDIA.NS,Linde India Ltd.,Chemicals,EQ,INE473A01011
LLOYDSME.NS,Lloyds Metals And Energy Ltd.,Metals & Mining,EQ,INE281B01032
LODHA.NS,Lodha Developers Ltd.,Realty,EQ,INE670K01029
LUPIN.NS,Lupin Ltd.,Healthcare,EQ,INE326A01037
MMTC.NS,MMTC Ltd.,Services,EQ,INE123F01029
MRF.NS,MRF Ltd.,Automobile and Auto Components,EQ,INE883A01011
MGL.NS,Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,EQ,INE002S01010
MAHSCOOTER.NS,Maharashtra Scooters Ltd.,Financial Services,EQ,INE288A01013
MAHSEAMLES.NS,Maharashtra Seamless Ltd.,Capital Goods,EQ,INE271B01025
M&MFIN.NS,Mahindra & Mahindra Financial Services Ltd.,Financial Services,EQ,INE774D01024
M&M.NS,Mahindra & Mahindra Ltd.,Automobile and Auto Components,EQ,INE101A01026
MANAPPURAM.NS,Manappuram Finance Ltd.,Financial Services,EQ,INE522D01027
MRPL.NS,Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,EQ,INE103A01014
MANKIND.NS,Mankind Pharma Ltd.,Healthcare,EQ,INE634S01028
MARICO.NS,Marico Ltd.,Fast Moving Consumer Goods,EQ,INE196A01026
MARUTI.NS,Maruti Suzuki India Ltd.,Automobile and Auto Components,EQ,INE585B01010
MFSL.NS,Max Financial Services Ltd.,Financial Services,EQ,INE180A01020
MAXHEALTH.NS,Max Healthcare Institute Ltd.,Healthcare,EQ,INE027H01010
MAZDOCK.NS,Mazagoan Dock Shipbuilders Ltd.,Capital Goods,EQ,INE249Z01020
