nse_symbol,yfinance_symbol
TVSMOTOR,TVSMOTOR.NS
TATAPOWER,TATAPOWER.NS
TORNTPHARM,TORNTPHARM.NS
UNITDSPR,UNITDSPR.NS
VBL,VBL.NS
VEDL,VEDL.NS
ZYDUSLIFE,ZYDUSLIFE.NS
360ONE,360ONE.NS
3MINDIA,3MINDIA.NS
ACC,ACC.NS
ACMESOLAR,ACMESOLAR.NS
AIAENG,AIAENG.NS
APLAPOLLO,APLAPOLLO.NS
AUBANK,AUBANK.NS
AWL,AWL.NS
AADHARHFC,AADHARHFC.NS
AARTIIND,AARTIIND.NS
AAVAS,AAVAS.NS
ABBOTINDIA,ABBOTINDIA.NS
ACE,ACE.NS
ATGL,ATGL.NS
ABCAPITAL,ABCAPITAL.NS
ABFRL,ABFRL.NS
ABREL,ABREL.NS
ABSLAMC,ABSLAMC.NS
AEGISLOG,AEGISLOG.NS
AFCONS,AFCONS.NS
AFFLE,AFFLE.NS
AJANTPHARM,AJANTPHARM.NS
AKUMS,AKUMS.NS
APLLTD,APLLTD.NS
ALIVUS,ALIVUS.NS
ALKEM,ALKEM.NS
ALKYLAMINE,ALKYLAMINE.NS
ALOKINDS,ALOKINDS.NS
ARE&M,ARE&M.NS
AMBER,AMBER.NS
ANANDRATHI,ANANDRATHI.NS
ANANTRAJ,ANANTRAJ.NS
ANGELONE,ANGELONE.NS
APARINDS,APARINDS.NS
APOLLOTYRE,APOLLOTYRE.NS
APTUS,APTUS.NS
ASAHIINDIA,ASAHIINDIA.NS
ASHOKLEY,ASHOKLEY.NS
ASTERDM,ASTERDM.NS
ASTRAZEN,ASTRAZEN.NS
ASTRAL,ASTRAL.NS
ATUL,ATUL.NS
AUROPHARMA,AUROPHARMA.NS
AIIL,AIIL.NS
BASF,BASF.NS
BEML,BEML.NS
BLS,BLS.NS
BSE,BSE.NS
BALKRISIND,BALKRISIND.NS
BALRAMCHIN,BALRAMCHIN.NS
BANDHANBNK,BANDHANBNK.NS
BANKINDIA,BANKINDIA.NS
MAHABANK,MAHABANK.NS
BATAINDIA,BATAINDIA.NS
BAYERCROP,BAYERCROP.NS
BERGEPAINT,BERGEPAINT.NS
BDL,BDL.NS
BHARATFORG,BHARATFORG.NS
BHEL,BHEL.NS
BHARTIHEXA,BHARTIHEXA.NS
BIKAJI,BIKAJI.NS
BIOCON,BIOCON.NS
BSOFT,BSOFT.NS
BLUEDART,BLUEDART.NS
BLUESTARCO,BLUESTARCO.NS
BBTC,BBTC.NS
FIRSTCRY,FIRSTCRY.NS
BRIGADE,BRIGADE.NS
MAPMYINDIA,MAPMYINDIA.NS
CCL,CCL.NS
CESC,CESC.NS
CRISIL,CRISIL.NS
CAMPUS,CAMPUS.NS
CANFINHOME,CANFINHOME.NS
CAPLIPOINT,CAPLIPOINT.NS
CGCL,CGCL.NS
CARBORUNIV,CARBORUNIV.NS
CASTROLIND,CASTROLIND.NS
CEATLTD,CEATLTD.NS
CENTRALBK,CENTRALBK.NS
CDSL,CDSL.NS
CENTURYPLY,CENTURYPLY.NS
CERA,CERA.NS
CHALET,CHALET.NS
CHAMBLFERT,CHAMBLFERT.NS
CHENNPETRO,CHENNPETRO.NS
CHOLAHLDNG,CHOLAHLDNG.NS
CUB,CUB.NS
CLEAN,CLEAN.NS
COCHINSHIP,COCHINSHIP.NS
COFORGE,COFORGE.NS
COHANCE,COHANCE.NS
COLPAL,COLPAL.NS
CAMS,CAMS.NS
CONCORDBIO,CONCORDBIO.NS
CONCOR,CONCOR.NS
COROMANDEL,COROMANDEL.NS
CRAFTSMAN,CRAFTSMAN.NS
CREDITACC,CREDITACC.NS
CROMPTON,CROMPTON.NS
CUMMINSIND,CUMMINSIND.NS
CYIENT,CYIENT.NS
DCMSHRIRAM,DCMSHRIRAM.NS
DOMS,DOMS.NS
DALBHARAT,DALBHARAT.NS
DATAPATTNS,DATAPATTNS.NS
DEEPAKFERT,DEEPAKFERT.NS
DEEPAKNTR,DEEPAKNTR.NS
DELHIVERY,DELHIVERY.NS
DEVYANI,DEVYANI.NS
DIXON,DIXON.NS
LALPATHLAB,LALPATHLAB.NS
DUMMYDBRLT,DUMMYDBRLT.NS
EIDPARRY,EIDPARRY.NS
EIHOTEL,EIHOTEL.NS
ELECON,ELECON.NS
ELGIEQUIP,ELGIEQUIP.NS
EMAMILTD,EMAMILTD.NS
EMCURE,EMCURE.NS
ENDURANCE,ENDURANCE.NS
ENGINERSIN,ENGINERSIN.NS
ERIS,ERIS.NS
ESCORTS,ESCORTS.NS
EXIDEIND,EXIDEIND.NS
NYKAA,NYKAA.NS
FEDERALBNK,FEDERALBNK.NS
FACT,FACT.NS
FINCABLES,FINCABLES.NS
FINPIPE,FINPIPE.NS
FSL,FSL.NS
FIVESTAR,FIVESTAR.NS
FORTIS,FORTIS.NS
GVT&D,GVT&D.NS
GMRAIRPORT,GMRAIRPORT.NS
GRSE,GRSE.NS
GICRE,GICRE.NS
GILLETTE,GILLETTE.NS
GLAND,GLAND.NS
GLAXO,GLAXO.NS
GLENMARK,GLENMARK.NS
MEDANTA,MEDANTA.NS
GODIGIT,GODIGIT.NS
GPIL,GPIL.NS
GODFRYPHLP,GODFRYPHLP.NS
GODREJAGRO,GODREJAGRO.NS
GODREJIND,GODREJIND.NS
GODREJPROP,GODREJPROP.NS
GRANULES,GRANULES.NS
GRAPHITE,GRAPHITE.NS
GRAVITA,GRAVITA.NS
GESHIP,GESHIP.NS
FLUOROCHEM,FLUOROCHEM.NS
GUJGASLTD,GUJGASLTD.NS
GMDCLTD,GMDCLTD.NS
GNFC,GNFC.NS
GPPL,GPPL.NS
GSPL,GSPL.NS
HEG,HEG.NS
HBLENGINE,HBLENGINE.NS
HDFCAMC,HDFCAMC.NS
HFCL,HFCL.NS
HAPPSTMNDS,HAPPSTMNDS.NS
HSCL,HSCL.NS
HINDCOPPER,HINDCOPPER.NS
HINDPETRO,HINDPETRO.NS
HINDZINC,HINDZINC.NS
POWERINDIA,POWERINDIA.NS
HOMEFIRST,HOMEFIRST.NS
HONASA,HONASA.NS
HONAUT,HONAUT.NS
HUDCO,HUDCO.NS
IDBI,IDBI.NS
IDFCFIRSTB,IDFCFIRSTB.NS
IFCI,IFCI.NS
IIFL,IIFL.NS
INOXINDIA,INOXINDIA.NS
IRB,IRB.NS
IRCON,IRCON.NS
ITI,ITI.NS
INDGN,INDGN.NS
INDIACEM,INDIACEM.NS
INDIAMART,INDIAMART.NS
INDIANB,INDIANB.NS
IEX,IEX.NS
IOB,IOB.NS
IRCTC,IRCTC.NS
IREDA,IREDA.NS
IGL,IGL.NS
INDUSTOWER,INDUSTOWER.NS
INOXWIND,INOXWIND.NS
INTELLECT,INTELLECT.NS
IGIL,IGIL.NS
IKS,IKS.NS
IPCALAB,IPCALAB.NS
JBCHEPHARM,JBCHEPHARM.NS
JKCEMENT,JKCEMENT.NS
JBMA,JBMA.NS
JKTYRE,JKTYRE.NS
JMFINANCIL,JMFINANCIL.NS
JSWHL,JSWHL.NS
JSWINFRA,JSWINFRA.NS
JPPOWER,JPPOWER.NS
J&KBANK,J&KBANK.NS
JINDALSAW,JINDALSAW.NS
JSL,JSL.NS
JUBLFOOD,JUBLFOOD.NS
JUBLINGREA,JUBLINGREA.NS
JUBLPHARMA,JUBLPHARMA.NS
JWL,JWL.NS
JUSTDIAL,JUSTDIAL.NS
JYOTHYLAB,JYOTHYLAB.NS
JYOTICNC,JYOTICNC.NS
KPRMILL,KPRMILL.NS
KEI,KEI.NS
KNRCON,KNRCON.NS
KPITTECH,KPITTECH.NS
KAJARIACER,KAJARIACER.NS
KPIL,KPIL.NS
KALYANKJIL,KALYANKJIL.NS
KANSAINER,KANSAINER.NS
KARURVYSYA,KARURVYSYA.NS
KAYNES,KAYNES.NS
KEC,KEC.NS
KFINTECH,KFINTECH.NS
KIRLOSBROS,KIRLOSBROS.NS
KIRLOSENG,KIRLOSENG.NS
KIMS,KIMS.NS
LTF,LTF.NS
LTTS,LTTS.NS
LICHSGFIN,LICHSGFIN.NS
LTFOODS,LTFOODS.NS
LATENTVIEW,LATENTVIEW.NS
LAURUSLABS,LAURUSLABS.NS
LEMONTREE,LEMONTREE.NS
LINDEINDIA,LINDEINDIA.NS
LLOYDSME,LLOYDSME.NS
LUPIN,LUPIN.NS
MMTC,MMTC.NS
MRF,MRF.NS
MGL,MGL.NS
MAHSEAMLES,MAHSEAMLES.NS
M&MFIN,M&MFIN.NS
MANAPPURAM,MANAPPURAM.NS
MRPL,MRPL.NS
MANKIND,MANKIND.NS
MARICO,MARICO.NS
MASTEK,MASTEK.NS
MFSL,MFSL.NS
MAXHEALTH,MAXHEALTH.NS
MAZDOCK,MAZDOCK.NS
METROPOLIS,METROPOLIS.NS
MINDACORP,MINDACORP.NS
MSUMI,MSUMI.NS
MOTILALOFS,MOTILALOFS.NS
MPHASIS,MPHASIS.NS
MCX,MCX.NS
MUTHOOTFIN,MUTHOOTFIN.NS
NATCOPHARM,NATCOPHARM.NS
NBCC,NBCC.NS
NCC,NCC.NS
NHPC,NHPC.NS
NLCINDIA,NLCINDIA.NS
NMDC,NMDC.NS
NSLNISP,NSLNISP.NS
NTPCGREEN,NTPCGREEN.NS
NH,NH.NS
NATIONALUM,NATIONALUM.NS
NAVA,NAVA.NS
NAVINFLUOR,NAVINFLUOR.NS
NETWEB,NETWEB.NS
NETWORK18,NETWORK18.NS
NEULANDLAB,NEULANDLAB.NS
NEWGEN,NEWGEN.NS
NAM-INDIA,NAM-INDIA.NS
NIVABUPA,NIVABUPA.NS
NUVAMA,NUVAMA.NS
OBEROIRLTY,OBEROIRLTY.NS
OIL,OIL.NS
OLAELEC,OLAELEC.NS
OLECTRA,OLECTRA.NS
PAYTM,PAYTM.NS
OFSS,OFSS.NS
POLICYBZR,POLICYBZR.NS
PCBL,PCBL.NS
PGEL,PGEL.NS
PIIND,PIIND.NS
PNBHOUSING,PNBHOUSING.NS
PNCINFRA,PNCINFRA.NS
PTCIL,PTCIL.NS
PVRINOX,PVRINOX.NS
PAGEIND,PAGEIND.NS
PATANJALI,PATANJALI.NS
PERSISTENT,PERSISTENT.NS
PETRONET,PETRONET.NS
PFIZER,PFIZER.NS
PHOENIXLTD,PHOENIXLTD.NS
PPLPHARMA,PPLPHARMA.NS
POLYMED,POLYMED.NS
POLYCAB,POLYCAB.NS
POONAWALLA,POONAWALLA.NS
PRAJIND,PRAJIND.NS
PREMIERENE,PREMIERENE.NS
PRESTIGE,PRESTIGE.NS
RRKABEL,RRKABEL.NS
RBLBANK,RBLBANK.NS
RHIM,RHIM.NS
RITES,RITES.NS
RADICO,RADICO.NS
RVNL,RVNL.NS
RAILTEL,RAILTEL.NS
RAINBOW,RAINBOW.NS
RKFORGE,RKFORGE.NS
RCF,RCF.NS
RTNINDIA,RTNINDIA.NS
RAYMONDLSL,RAYMONDLSL.NS
RAYMOND,RAYMOND.NS
REDINGTON,REDINGTON.NS
RELINFRA,RELINFRA.NS
RPOWER,RPOWER.NS
ROUTE,ROUTE.NS
SBFC,SBFC.NS
SBICARD,SBICARD.NS
SJVN,SJVN.NS
SKFINDIA,SKFINDIA.NS
SRF,SRF.NS
SAGILITY,SAGILITY.NS
SAILIFE,SAILIFE.NS
SAMMAANCAP,SAMMAANCAP.NS
SAPPHIRE,SAPPHIRE.NS
SARDAEN,SARDAEN.NS
SAREGAMA,SAREGAMA.NS
SCHAEFFLER,SCHAEFFLER.NS
SCHNEIDER,SCHNEIDER.NS
SCI,SCI.NS
RENUKA,RENUKA.NS
SHYAMMETL,SHYAMMETL.NS
SIGNATURE,SIGNATURE.NS
SOBHA,SOBHA.NS
SOLARINDS,SOLARINDS.NS
SONACOMS,SONACOMS.NS
SONATSOFTW,SONATSOFTW.NS
STARHEALTH,STARHEALTH.NS
SAIL,SAIL.NS
SWSOLAR,SWSOLAR.NS
SUMICHEM,SUMICHEM.NS
SUNTV,SUNTV.NS
SUNDARMFIN,SUNDARMFIN.NS
SUNDRMFAST,SUNDRMFAST.NS
SUPREMEIND,SUPREMEIND.NS
SUZLON,SUZLON.NS
SWANCORP,SWANCORP.NS
SYNGENE,SYNGENE.NS
SYRMA,SYRMA.NS
TBOTEK,TBOTEK.NS
TANLA,TANLA.NS
TATACHEM,TATACHEM.NS
TATACOMM,TATACOMM.NS
TATAELXSI,TATAELXSI.NS
TATAINVEST,TATAINVEST.NS
TATATECH,TATATECH.NS
TTML,TTML.NS
TECHNOE,TECHNOE.NS
TEJASNET,TEJASNET.NS
NIACL,NIACL.NS
RAMCOCEM,RAMCOCEM.NS
THERMAX,THERMAX.NS
TIMKEN,TIMKEN.NS
TITAGARH,TITAGARH.NS
TORNTPOWER,TORNTPOWER.NS
TARIL,TARIL.NS
TRIDENT,TRIDENT.NS
TRIVENI,TRIVENI.NS
TRITURBINE,TRITURBINE.NS
TIINDIA,TIINDIA.NS
UCOBANK,UCOBANK.NS
UNOMINDA,UNOMINDA.NS
UPL,UPL.NS
UTIAMC,UTIAMC.NS
UNIONBANK,UNIONBANK.NS
UBL,UBL.NS
USHAMART,USHAMART.NS
VGUARD,VGUARD.NS
DBREALTY,DBREALTY.NS
VTL,VTL.NS
MANYAVAR,MANYAVAR.NS
VIJAYA,VIJAYA.NS
VMM,VMM.NS
IDEA,IDEA.NS
VOLTAS,VOLTAS.NS
WAAREEENER,WAAREEENER.NS
WELCORP,WELCORP.NS
WELSPUNLIV,WELSPUNLIV.NS
WESTLIFE,WESTLIFE.NS
WHIRLPOOL,WHIRLPOOL.NS
WOCKPHARMA,WOCKPHARMA.NS
YESBANK,YESBANK.NS
ZFCVINDIA,ZFCVINDIA.NS
ZEEL,ZEEL.NS
ZENTEC,ZENTEC.NS
ZENSARTECH,ZENSARTECH.NS
ECLERX,ECLERX.NS
